id,internship_name,company,stipend,posted,portal,applied_date,call_back
2220622,Next.js & Blockchain Development,Metaverse Ventures Private Limited,"₹ 21,000-25,000 /month",unknown,internshala,2023-07-07,
2222523,ROS Development,Husoro Enterprises LLP,"₹ 1,000 /month",Today,internshala,2023-07-07,
2220801,Graphic Design,Hecto Bot,"₹ 1,000 /month",1 day ago,internshala,2023-07-07,
2220080,Unreal Engine Game Development,Anywhere Market,"₹ 1,000 /month",2 days ago,internshala,2023-07-07,
2199130,Python Flask Development,Druidot Consulting Private Limited,"₹ 1,000 /month",unknown,internshala,2023-07-07,
2221308,Android App Development,Aadi Foundation,Unpaid,unknown,internshala,2023-07-07,
2225877,Machine Learning & Model Building (OCR Tool),IIT Bombay,"₹ 1,000 /month",Today,internshala,2023-07-07,
2224052,Mobile App Development,Kali IO Solutions,"₹ 1,000 /month",2 days ago,internshala,2023-07-07,
2226548,Data Research,RCWISE TECHNOLOGIES LLP,"₹ 1,000 /month",Few hours ago,internshala,2023-07-07,
2218974,Backend Development (Node.js & Express.js),Altruism Labs,"₹ 1,000 /month +  Incentives",unknown,internshala,2023-07-07,
2220748,Business Development (Sales),Alecado Systems,"₹ 1,000 /month +  Incentives",2 days ago,internshala,2023-07-07,
2213584,Database Building/Management,Build Your English,"₹ 1,000 /month +  Incentives",unknown,internshala,2023-07-07,
2225515,Statistics,Conscript HR Advisors Private Limited,"₹ 1,000 /month",Today,internshala,2023-07-07,
2223979,Data Analysis,Ozibook Tech Solutions Private Limited,"₹ 1,000 /month",1 day ago,internshala,2023-07-07,
2201185,Web Development,Minkash Nxtgen,"₹ 1,000 /week",unknown,internshala,2023-07-07,
2213546,Web Development (Django),IIT Bombay,"₹ 1,000-2,000 /month",unknown,internshala,2023-07-07,
2213529,ReactJS Development,Aimed Labs,"₹ 1,000-5,000 /month",unknown,internshala,2023-07-07,
2192551,Electronics Engineering,LearnElectronics,"₹ 1,500 /month +  Incentives",unknown,internshala,2023-07-07,
2226062,Coding - Teaching,GEMA Education Technology Private Limited,"₹ 2,000 /month",Today,internshala,2023-07-07,
2219413,Data Analysis,Alphanumeric Ideas Private Limited,"₹ 1,500-3,000 /month",2 days ago,internshala,2023-07-07,
2216017,Video Analytics Development,Edusattva Consulting  Pvt Ltd,"₹ 2,000 /month",unknown,internshala,2023-07-07,
2207780,Electronics Engineering,Wikasta Business And Technical Solutions Private Limited,"₹ 2,000 /month",unknown,internshala,2023-07-07,
2221466,PHP Development,DCNPL Private Limited,"₹ 2,000 /month",unknown,internshala,2023-07-07,
2223026,Front End Development,Salesqueen Software Solutions,"₹ 2,000 /month",2 days ago,internshala,2023-07-07,
2223490,PHP Development,Fulgid Software Solutions Private Limited,"₹ 2,000 /month",2 days ago,internshala,2023-07-07,
2218990,Distributed Databases And Systems And Their Algorithms,Megaminds IT Services,"₹ 2,000 /month +  Incentives",unknown,internshala,2023-07-07,
2214365,Angular Development,PrimaThink Technologies Private Limited,"₹ 2,000 /month +  Incentives",unknown,internshala,2023-07-07,
2209756,Full Stack & AI,Baavalibuch,"₹ 2,000 /month",unknown,internshala,2023-07-07,
2213220,Django Full Stack Development,Megaminds IT Services,"₹ 2,000 /month +  Incentives",unknown,internshala,2023-07-07,
2221285,Solution Integration,Razaxe Technologies,"₹ 2,000 /month +  Incentives",1 day ago,internshala,2023-07-07,
2214381,Business Analytics,Viacom India LLP,"₹ 2,000-3,000 /month",unknown,internshala,2023-07-07,
2217174,Market Research,CUR8,"₹ 2,000-3,000 /month",unknown,internshala,2023-07-07,
2224892,Full Stack Development,Brihat Infotech Private Limited,"₹ 2,000-5,000 /month",1 day ago,internshala,2023-07-07,
2218563,Node.js Development,Across The Globe (ATG),"₹ 2,500 /month +  Incentives",unknown,internshala,2023-07-07,
2210980,React Native Android/iOS Development,Unicorniz Innovations,"₹ 2,000-10,000 /month",unknown,internshala,2023-07-07,
2224340,React Native Development,Across The Globe (ATG),"₹ 2,500 /month +  Incentives",1 day ago,internshala,2023-07-07,
2224888,Web Development,Across The Globe (ATG),"₹ 2,500 /month +  Incentives",1 day ago,internshala,2023-07-07,
2217582,Performance Marketing,PatilKaki,"₹ 3,000 /month",unknown,internshala,2023-07-07,
2222447,React Native Development,PatilKaki,"₹ 3,000 /month",unknown,internshala,2023-07-07,
2220561,Full Stack Development,Indo Web Agency,"₹ 3,000 /month",unknown,internshala,2023-07-07,
2223449,WordPress Development,Digital Amigos,"₹ 3,000 /month",2 days ago,internshala,2023-07-07,
2222821,Front End Development,BreakInterview,"₹ 3,000 /month",unknown,internshala,2023-07-07,
